但使龙城飞将在,dan-shi-long-cheng-fei-jiang-zai
对酒当歌,dui-jiu-dang-ge
人生几何,ren-shen-ji-he
譬如朝露,pi-ru-zhao-mu
去日苦多,qu-ri-ku-duo
慨当以慷,kai-dang-yi-kang
忧思难忘,you-si-nan-wang
何以解忧,he-yi-jie-you
唯有杜康,wei-you-du-kang
青青子衿,qin-qin-zi-jin
悠悠我心,you-you-wo-xin
但为君故,dan-wei-jun-gu
沉吟至今,chen-yin-zhi-jin
呦呦鹿鸣,you-you-lu-ming
食野之苹,shi-ye-zhi-ping
我有嘉宾,wo-you-jia-bin
鼓瑟吹笙,gu-se-chui-sheng
明明如月,ming-ming-ru-yue
何时可掇,he-shi-ke-zhui
忧从中来,you-cong-zhong-lai
不可断绝,bu-ke-duan-jue
越陌度阡,yue-mo-du-qian
枉用相存,wang-yong-xiang-cun
契阔谈䜩,qi-kuo-tan-yan
心念旧恩,xin-nian-jiu-en
月明星稀,yue-ming-xing-xi
乌鹊南飞,wu-que-nan-fei
绕树三匝,rao-shu-san-zha
何枝可依,he-zhi-ke-yi
山不厌高,shan-bu-yan-gao
海不厌深,hai-bu-yan-shen
周公吐哺,zhou-gong-tu-pu
天下归心,tian-xia-gui-xin
峰峦如聚,feng-luan-ru-ju
波涛如怒,bo-tao-ru-nu
山河表里潼关路,shan-he-biao-li-tong-guan-lu
望西都,wang-xi-du
意踌躇,yi-chou-chu
伤心秦汉经行处,shang-xin-qin-han-jing-xing-chu
宫阙万间都做了土,gong-que-wan-jian-dou-zuo-le-tu
兴百姓苦,xing-bai-xing-ku
亡百姓苦,wang-bai-xing-ku
莫听穿林打叶声,mo-ting-chuan-lin-da-ye-sheng
何妨吟啸且徐行,he-fang-yin-xiao-qie-xu-xing
竹杖芒鞋轻胜马,zhu-zhang-mang-xie-qing-sheng-ma
谁怕,shui-pa
一蓑烟雨任平生,yi-suo-yan-yu-ren-ping-sheng
料峭春风吹酒醒,liao-qiao-chun-feng-chui-jiu-xing
微冷,wei-leng
山头斜照却相迎,shan-tou-xie-zhao-que-xiang-ying
回首向来萧瑟处,hui-shou-xiang-lai-xiao-se-chu
归去,gui-qu
也无风雨也无晴,ye-wu-feng-yu-ye-wu-qing
十年生死两茫茫,shi-nian-sheng-si-liang-mang-mang
不思量,bu-si-liang
自难忘,zi-nan-wang
千里孤坟,qian-li-gu-fen
无处话凄凉,wu-chu-hua-qi-liang
纵使相逢应不识,zong-shi-xiang-feng-ying-bu-shi
尘满面,chen-man-mian
鬓如霜,bin-ru-shuang
夜来幽梦忽还乡,ye-lai-you-meng-hu-huan-xiang
小轩窗,xiao-xuan-chuang
正梳妆,zheng-shu-zhuang
相顾无言,xiang-gu-wu-yan
惟有泪千行,wei-you-lei-qian-hang
料得年年肠断处,liao-de-nian-nian-chang-duan-chu
明月夜,ming-yue-ye
短松冈,duan-song-gang
岁月催人老,sui-yue-cui-ren-lao
山川记子游,shan-chuan-ji-zi-you
清明时节雨纷纷,qing-ming-shi-jie-yu-fen-fen
路上行人欲断魂,lu-shang-xing-ren-yu-duan-hun
借问酒家何处有,jie-wen-jiu-jia-he-chu-you
牧童遥指杏花村,mu-tong-yao-zhi-xing-hua-cun
宣室求贤访逐臣,xuan-shi-qiu-xian-fang-zhu-chen
贾生才调更无伦,jia-sheng-cai-diao-geng-wu-lun
春眠不觉晓,chun-mian-bu-jue-xiao
处处闻啼鸟,chu-chu-wen-ti-niao
夜来风雨声,ye-lai-feng-yu-sheng
花落知多少,hua-luo-zhi-duo-shao
君不见,jun-bu-jian
黄河之水天上来,huang-he-zhi-shui-tian-shang-lai
奔流到海不复回,ben-liu-dao-hai-bu-fu-hui
高堂明镜悲白发,gao-tang-ming-jing-bei-bai-fa
朝如青丝暮成雪,zhao-ru-qing-si-mu-cheng-xue
人生得意须尽欢,ren-sheng-de-yi-xu-jin-huan
莫使金樽空对月,mo-shi-jin-zun-kong-dui-yue
天生我材必有用,tian-sheng-wo-cai-bi-you-yong
千金散尽还复来,qian-jin-san-jin-huan-fu-lai
